sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:4342126	Aberia	RO:0002453	host of	EOL:838720	Phenacoccus hirsutus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:71367	Abutilon	RO:0002453	host of	EOL:838720	Phenacoccus hirsutus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:13650	Acacia	RO:0002453	host of	EOL:2646082	Icerya purchasi	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:13650	Acacia	RO:0002453	host of	EOL:838720	Phenacoccus hirsutus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:13650	Acacia	RO:0002453	host of	EOL:2646219	Coccus hesperidum	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:13650	Acacia	RO:0002453	host of	EOL:837169	Coccus longulus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:687277	Acacia arabica	RO:0002453	host of	EOL:834860	Aonidia glandulosa	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:687277	Acacia arabica	RO:0002453	host of	EOL:835171	Aspidiotus cydoniae	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:687277	Acacia arabica	RO:0002453	host of	EOL:2646082	Icerya purchasi	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:687277	Acacia arabica	RO:0002453	host of	EOL:840273	Lecaniodiaspis africana	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:687277	Acacia arabica	RO:0002453	host of	EOL:837169	Coccus longulus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:687277	Acacia arabica	RO:0002453	host of	EOL:838235	Pseudococcus perniciosuses	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:29654	Adina	RO:0002453	host of	EOL:838720	Phenacoccus hirsutus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:1096421	Adina cordifolia	RO:0002453	host of	EOL:835789	Chrysomphalus aonidum	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:1114028	Agrostis alba	RO:0002453	host of	EOL:835462	Chionaspis graminis var. divergens	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:13640	Albizzia	RO:0002453	host of	EOL:838720	Phenacoccus hirsutus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:23570272	Albizzia lebbekh	RO:0002453	host of	EOL:834325	Parlatoria chinensis	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:23570272	Albizzia lebbekh	RO:0002453	host of	EOL:838235	Pseudococcus perniciosuses	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:107303	Aloe	RO:0002453	host of	EOL:835789	Chrysomphalus aonidum	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
EOL:71371	Althaea	RO:0002453	host of	EOL:838720	Phenacoccus hirsutus	GEONAMES:357994	Egypt					Hall, W.J., 1923. Further observations on the Coccidae of Egypt. Ministry of Agriculture, Technical and Scientific Service, Bulletin, (36), pp.1-61.
